"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
12760,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES","ENDERBY DEVELOPMENTS LIMITED","PRIVATE",4154112,"NO","NO","NO","55  COSBURN AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1973,2017,12,"YES","NO",155,0,"Green Bin / Organics","NO",155,"Post 1950"
12761,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES","GREENWIN INC.","PRIVATE",4154114,"NO","YES","NO","91  COSBURN AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1986,2018,11,"NO","NO",86,0,"Recycling bins","NO",0,"Post 1950"
12762,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","NO","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4154605,"NO","YES","NO","4238  BATHURST ST","NO","UNAVAILABLE","06","DOUBLE PANE",1956,2017,3,"NO","NO",13,0,"Recycling bins","NO",0,"Post 1950"
12763,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES","SAROSSA INVESTMENTS INC","PRIVATE",4154615,"NO","YES","NO","229  PANNAHILL RD","NO","UNAVAILABLE","06","DOUBLE PANE",1950,2017,3,"NO","NO",12,9,"Green Bin / Organics","NO",0,"Post 1950"
12764,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","SILVERCORE PROPERTIES INC","PRIVATE",4155099,"NO","NO","NO","60  CLEARVIEW HTS","YES","UNAVAILABLE","05","SINGLE PANE",1951,2017,4,"NO","NO",37,25,"Recycling bins","NO",0,"Post 1950"
12765,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","GN INVESTMENT","PRIVATE",4155112,"NO","NO","NO","83  CLEARVIEW HTS","NO","FREE","05","DOUBLE PANE",1915,2017,3,"NO","YES",40,0,"Green Bin / Organics","NO",0,"Pre 1935"
12766,"INDIVIDUAL UNITS","Indoor recreation room , Indoor exercise room , Child play area","NO","YES","4 indoor parking spots and 4 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"SOCIAL HOUSING",4155127,"NO","NO","NO","200  DORA SPENCER RD","YES","PAID","05","DOUBLE PANE",1992,2017,9,"YES","NO",125,3,"Green Bin / Organics","YES",20,"Post 1950"
12767,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","TCH","TCHC",4155630,"NO","NO","NO","4  REPLIN RD","YES","PAID","08","DOUBLE PANE",1957,2017,4,"NO","YES",30,2,"Green Bin / Organics","NO",1,"Post 1950"
12768,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","TCH","TCHC",4155633,"NO","NO","NO","6  REPLIN RD","YES","PAID","08","DOUBLE PANE",1957,2017,4,"NO","YES",30,3,"Green Bin / Organics","NO",1,"Post 1950"
12769,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","TCH","TCHC",4155642,"NO","NO","NO","11  FLEMINGTON RD","YES","PAID","08","DOUBLE PANE",1957,2017,4,"NO","YES",31,4,"Green Bin / Organics","NO",1,"Post 1950"
12770,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,NA,"YES","TCH","TCHC",4155643,"NO","NO","NO","9  FLEMINGTON RD","YES","PAID","08","DOUBLE PANE",1957,2017,4,"NO","YES",30,2,"Green Bin / Organics","NO",1,"Post 1950"
12771,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",4,"Underground Garage , Garage accessible thru buildg","YES","TCH","TCHC",4155653,"NO","NO","NO","190  WOOLNER AVE","YES","PAID","05","DOUBLE PANE",1968,2017,16,"YES","YES",304,5,"Green Bin / Organics","NO",4,"Post 1950"
12772,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","NO",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO","TCH","TCHC",4156735,"NO","NO","NO","155  NEPTUNE DR","YES","PAID","08","SINGLE PANE",1974,2017,4,"YES","YES",48,5,"Green Bin / Organics","NO",1,"Post 1950"
12773,"NONE",NA,"YES","NO","Not Available",NA,NA,"YES","HOT WATER","YES","YES","NO",4,"Underground Garage , Surface Parking","YES","10-12 ST DENNIS DRIVE LTD","PRIVATE",4156740,"NO","YES","NO","10  ST DENNIS DR","YES","FREE","16","DOUBLE PANE",1967,2017,9,"YES",NA,325,340,"Green Bin / Organics","NO",NA,"Post 1950"
12774,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154121,"NO","YES","NO","33  GAMBLE AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1970,2017,4,"YES","NO",28,0,"Recycling bins","NO",0,"Post 1950"
12775,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","CONNAUGHT YONGE SQUARE LIMITED","PRIVATE",4154122,"NO","NO","NO","45  GAMBLE AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1974,2017,6,"YES","NO",49,0,"Green Bin / Organics","NO",0,"Post 1950"
12776,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","TRIPAR MANAGEMENT","PRIVATE",4154124,"NO","YES","NO","65  GAMBLE AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1955,2017,6,"NO","NO",48,40,"Green Bin / Organics","NO",48,"Post 1950"
12777,"NONE",NA,"YES","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GREENWIN INC.","PRIVATE",4154129,"NO","YES","NO","80  COSBURN AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1970,2017,15,"YES","NO",84,1,"Recycling bins","NO",84,"Post 1950"
12778,"NONE",NA,"YES","YES","0 indoor parking spots and 18 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","MARBROOK DEVELOPMENTS LTD.","PRIVATE",4154132,"NO","NO","NO","1175  BROADVIEW AVE","YES","FREE","14","DOUBLE PANE",1970,2017,12,"NO","NO",134,0,"Recycling bins","NO",0,"Post 1950"
12779,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4154133,NA,NA,NA,"15  GAMBLE AVE",NA,NA,"14","DOUBLE PANE",1958,2019,3,NA,NA,27,NA,"Not Available",NA,NA,"Post 1950"
12780,"NONE",NA,"YES","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Parking Deck","YES","PARK PROPERTY MANAGEMENT INC.","PRIVATE",4154145,"NO","YES","NO","2  MILEPOST PL","YES","UNAVAILABLE","15","DOUBLE PANE",1960,2017,6,"YES","NO",77,0,"Recycling bins","YES",0,"Post 1950"
12781,"NONE","Indoor exercise room","YES","YES","30 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","Q RESIDENTIAL","PRIVATE",4154643,"NO","YES","NO","3  GOLDFINCH CRT","YES","FREE","06","SINGLE PANE",1964,2017,15,"YES","YES",172,6,"Recycling bins","NO",2,"Post 1950"
12782,"NONE","Outdoor pool","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Surface Parking","NO",NA,"PRIVATE",4154644,"NO","YES","NO","11  GOLDFINCH CRT","YES","FREE","06","DOUBLE PANE",1964,2017,15,"YES","NO",174,2,"Green Bin / Organics","NO",0,"Post 1950"
12783,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Surface Parking","YES","COGIR MANAGEMENT CORPORATION","PRIVATE",4154647,"NO","YES","NO","9  KINGSBRIDGE CRT","YES","FREE","06","DOUBLE PANE",1963,2017,7,"NO","NO",74,0,"Recycling bins","YES",74,"Post 1950"
12784,"NONE",NA,"YES","YES","0 indoor parking spots and 5 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","NO","FIRM CAPITAL PROPERTIES INC","PRIVATE",4154654,"NO","YES","NO","2895  BATHURST ST","YES","FREE","08","SINGLE PANE",1960,2017,5,"NO","YES",60,10,"Green Bin / Organics","NO",0,"Post 1950"
12785,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","NO","AVENUE ROAD INVESTMENT LIMITED","PRIVATE",4154656,"NO","YES","NO","312  DOUGLAS AVE","NO","FREE","08","DOUBLE PANE",1951,2017,3,"NO","NO",11,10,"Recycling bins","NO",0,"Post 1950"
12786,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Carport , Surface Parking","NO","EXCEL PROPERTY MANAGEMENT","PRIVATE",4155134,"NO","NO","NO","19  DENISON RD E","NO","FREE","05","DOUBLE PANE",1960,2017,3,"NO","NO",26,16,"Recycling bins","NO",0,"Post 1950"
12787,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","COGIR MANAGEMENT CORPORATION","PRIVATE",4155165,"NO","YES","NO","2292  WESTON RD","YES","FREE","05","DOUBLE PANE",1960,2017,8,"YES","NO",65,0,"Green Bin / Organics","NO",0,"Post 1950"
12788,"CENTRAL AIR","Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","NO","19 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","NO","YES",3,"Underground Garage , Garage accessible thru buildg","YES","CONCERT REALTY SERVICES LTD.","PRIVATE",4155687,"YES","YES","NO","151  BEECROFT RD","YES","PAID","18","DOUBLE PANE",2003,2017,27,"YES","NO",306,4,"Green Bin / Organics","YES",0,"Post 1950"
12789,"NONE","Indoor pool","YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","REDWOOD PROPERTIES","PRIVATE",4155690,"NO","YES","NO","65  HALSEY AVE","YES","PAID","19","DOUBLE PANE",1970,2017,9,"YES","NO",113,1,"Recycling bins","NO",9,"Post 1950"
12790,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Surface Parking","YES","TCH","TCHC",4156772,"NO","NO","NO","180  SACKVILLE ST","YES","PAID","13","DOUBLE PANE",2015,2017,9,"YES","YES",83,3,"Green Bin / Organics","NO",3,"Post 1950"
12791,"NONE",NA,"YES","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",4,"Underground Garage , Garage accessible thru buildg","YES","MORGUARD NAR CANADA L.P","PRIVATE",4154151,"NO","YES","NO","43  THORNCLIFFE PARK DR","YES","BOTH","15","DOUBLE PANE",1965,2017,20,"YES","NO",380,4,"Green Bin / Organics","NO",380,"Post 1950"
12792,"NONE","Child play area","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GREENWIN INC","PRIVATE",4154156,"NO","YES","NO","71  THORNCLIFFE PARK DR","YES","PAID","15","DOUBLE PANE",1966,2017,20,"YES","NO",314,10,"Recycling bins","NO",0,"Post 1950"
12793,"INDIVIDUAL UNITS","Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna","NO","YES","91 indoor parking spots and 0 outdoor parking spots","YES","YES","YES","FORCED AIR GAS","NO","YES","YES",6,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","MORGUARD CORPORATION","PRIVATE",4154159,"NO","YES","NO","85-95  THORNCLIFFE PARK DR","YES","BOTH","15","DOUBLE PANE",1971,2017,43,"YES","YES",500,2,"Green Bin / Organics","NO",2,"Post 1950"
12794,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Carport , Surface Parking","YES","MONTEREY PARK INC.","PRIVATE",4154166,"NO","YES","NO","42  THORNCLIFFE PARK DR","NO","PAID","15","DOUBLE PANE",1962,2017,6,"NO","YES",60,0,"Green Bin / Organics","NO",0,"Post 1950"
12795,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Surface Parking","YES",NA,"PRIVATE",4154169,"NO","YES","NO","26  THORNCLIFFE PARK DR","YES","FREE","15","DOUBLE PANE",1960,2017,6,"NO","NO",62,2,"Recycling bins","NO",0,"Post 1950"
12796,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Carport , Surface Parking","NO",NA,"PRIVATE",4154171,"NO","YES","NO","4  GRANDSTAND PL","YES","FREE","15","DOUBLE PANE",1962,2017,6,"NO","NO",60,0,"Green Bin / Organics","NO",0,"Post 1950"
12797,"NONE",NA,"YES","YES","0 indoor parking spots and 5 outdoor parking spots","YES","YES","NO","FORCED AIR GAS","YES","YES","YES",1,"Carport , Surface Parking","YES","CENTURY HOLDINGS LTD.","PRIVATE",4154173,"NO","NO","NO","22  THORNCLIFFE PARK DR","NO","FREE","15","DOUBLE PANE",1959,2017,7,"YES","YES",60,1,"Recycling bins","NO",0,"Post 1950"
12798,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","COGIR MANAGEMENT CORPORATION","PRIVATE",4154662,"NO","YES","NO","3311  BATHURST ST","YES","FREE","08","SINGLE PANE",1965,2017,9,"NO","NO",102,0,"Green Bin / Organics","NO",0,"Post 1950"
12799,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Underground Garage , Carport , Surface Parking","YES","MANTLER MANAGEMENT LTD.","PRIVATE",4154672,"NO","YES","NO","15  BIDEFORD AVE","YES","FREE","08","DOUBLE PANE",1956,2017,6,"NO","NO",44,0,"Recycling bins","NO",0,"Post 1950"
12800,"NONE","Indoor recreation room , Indoor exercise room","YES","NO","103 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",4,"Underground Garage , Garage accessible thru buildg , Parking Deck","YES","M&R PROPERTY MANAGEMENT","PRIVATE",4154681,"NO","YES","NO","4000  YONGE ST","YES","FREE","08","SINGLE PANE",1964,2017,8,"NO","NO",305,2,"Green Bin / Organics","NO",0,"Post 1950"
12801,"NONE",NA,"YES","YES","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","COGIR MANAGEMENT CORPORATION","PRIVATE",4154682,"NO","YES","NO","166  WILSON AVE","YES","FREE","08","DOUBLE PANE",1950,2017,4,"NO","NO",60,0,"Recycling bins","NO",0,"Post 1950"
12802,"NONE",NA,"YES","YES","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","COGIR MANAGEMENT CORPORATION","PRIVATE",4154683,"NO","YES","NO","2175  AVENUE RD","YES","FREE","08","DOUBLE PANE",1950,2017,4,"NO","NO",68,0,"Recycling bins","NO",0,"Post 1950"
12803,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","FALCO PROPERTIES","PRIVATE",4155167,"NO","YES","NO","2260  WESTON RD","YES","PAID","05","DOUBLE PANE",1962,2017,9,"YES","NO",116,0,"Green Bin / Organics","NO",116,"Post 1950"
12804,"NONE",NA,"YES","NO","0 indoor parking spots and 1 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TIVOLI TOWERS","PRIVATE",4155179,"NO","YES","NO","230  WOOLNER AVE","YES","FREE","05","DOUBLE PANE",1960,2017,9,"NO","NO",130,99,"Green Bin / Organics","NO",2,"Post 1950"
12805,"NONE",NA,"NO","NO","0 indoor parking spots and 0 outdoor parking spots","YES","YES","NO","FORCED AIR GAS","YES","YES","NO",0,"Surface Parking","YES","BEDFORD PROPERTIES LTD","PRIVATE",4155187,"NO","YES","NO","40  LAMBTON AVE","YES","FREE","05","SINGLE PANE",1958,2017,3,"NO","NO",26,10,"Unknown","NO",0,"Post 1950"
12806,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES","TCH","TCHC",4155705,"NO","NO","NO","2067  ISLINGTON AVE","YES","PAID","01","SINGLE PANE",1973,2017,12,"YES","YES",162,5,"Green Bin / Organics","NO",4,"Post 1950"
12807,"NONE",NA,"NO","NO","0 indoor parking spots and 12 outdoor parking spots","YES","YES","NO","ELECTRIC","YES","YES","NO",0,"Surface Parking","NO",NA,"PRIVATE",4155728,"NO","YES","NO","318  CLINTON ST","NO","PAID","11","DOUBLE PANE",1970,2018,3,"NO","YES",12,13,"Recycling bins","NO",0,"Post 1950"
12808,"INDIVIDUAL UNITS","Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155736,"NO","YES","NO","6020  BATHURST ST","YES","FREE","06","DOUBLE PANE",1967,2017,11,"YES","NO",149,0,"Recycling bins","YES",0,"Post 1950"
12809,"INDIVIDUAL UNITS","Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155737,"NO","YES","NO","6030  BATHURST ST","YES","FREE","06","DOUBLE PANE",1967,2017,19,"YES","NO",247,2,"Recycling bins","YES",0,"Post 1950"
12810,"INDIVIDUAL UNITS","Indoor recreation room","NO","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",3,"Ground Level Garage , Carport , Surface Parking","YES",NA,"SOCIAL HOUSING",4155744,"NO","NO","NO","66  RONCESVALLES AVE","YES","FREE","04","DOUBLE PANE",1977,2017,11,"YES","NO",200,5,"Green Bin / Organics","YES",200,"Post 1950"
12811,"NONE",NA,"YES","NO","Not Available","YES","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4168552,"NO","YES","NO","2625  KEELE ST","NO","UNAVAILABLE","05","SINGLE PANE",1968,2017,3,"NO","NO",10,12,"Green Bin / Organics","NO",0,"Post 1950"
12812,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg","NO","GORBAY COMPANY LIMITED","PRIVATE",4154183,"NO","YES","NO","1315  BAYVIEW AVE","NO","UNAVAILABLE","15","DOUBLE PANE",1950,2017,3,"NO","YES",38,0,"Green Bin / Organics","NO",0,"Post 1950"
12813,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Ground Level Garage","YES","WJ PROPERTIES","PRIVATE",4154200,"NO","NO","NO","898  EGLINTON AVE E","YES","UNAVAILABLE","15","SINGLE PANE",1954,2017,3,"NO","NO",21,0,"Recycling bins","NO",0,"Post 1950"
12814,"NONE",NA,"YES","NO","15 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg","YES","ROYAL LEPAGE SIGNATURE REALTY","PRIVATE",4154202,"NO","NO","NO","894  EGLINTON AVE E","YES","FREE","15","DOUBLE PANE",1954,2017,4,"NO","NO",44,29,"Green Bin / Organics","NO",0,"Post 1950"
12815,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"PRIVATE",4154712,NA,NA,NA,"300  FINCH AVE W",NA,NA,"18","DOUBLE PANE",NA,NA,4,NA,NA,30,NA,"Not Available",NA,NA,"Post 1950"
12816,"NONE","Indoor exercise room","YES","YES","20 indoor parking spots and 20 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","Q RESIDENTIAL","PRIVATE",4154716,"NO","YES","NO","5900  YONGE ST","NO","FREE","18","DOUBLE PANE",1970,2017,13,"NO","YES",233,8,"Green Bin / Organics","NO",2,"Post 1950"
12817,"INDIVIDUAL UNITS","Indoor recreation room","NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES","MAINSTAY HOUSING","SOCIAL HOUSING",4155200,"NO","NO","NO","495  RIVERSIDE DR","YES","FREE","04","DOUBLE PANE",1950,2017,3,"NO","NO",25,0,"Green Bin / Organics","YES",0,"Post 1950"
12818,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES","ORCHARD APARTMENTS (BLOOR) INC","PRIVATE",4155210,"NO","YES","NO","2688  BLOOR ST W","NO","UNAVAILABLE","03","DOUBLE PANE",1949,2017,4,"NO","NO",21,0,"Green Bin / Organics","NO",0,"1935-1950"
12819,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Carport , Surface Parking","YES","IMPERRA GENERAL MANAGMENT","PRIVATE",4155223,"NO","YES","NO","810  ROYAL YORK RD","NO","FREE","03","DOUBLE PANE",1960,2017,6,"NO","YES",60,0,"Green Bin / Organics","NO",0,"Post 1950"
12820,"NONE","Indoor exercise room","YES","NO","0 indoor parking spots and 14 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155770,"NO","YES","NO","2313  LAKE SHORE BLVD W","YES","BOTH","03","DOUBLE PANE",1960,2017,10,"YES","NO",133,0,"Green Bin / Organics","NO",0,"Post 1950"
12821,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Surface Parking","YES","TCH","TCHC",4155782,"NO","NO","NO","101  KENDLETON DR","YES","PAID","01","DOUBLE PANE",1965,2017,7,"YES","YES",221,3,"Green Bin / Organics","NO",3,"Post 1950"
12822,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES","AKELIUS CANADA LTD","PRIVATE",4169221,"NO","YES","NO","2701  EGLINTON AVE W","YES","UNAVAILABLE","05","DOUBLE PANE",1953,2019,4,"NO","YES",49,0,"Recycling bins","NO",0,"Post 1950"
12823,"NONE",NA,"NO","NO","0 indoor parking spots and 8 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES","GREENWIN INC.","PRIVATE",4152559,"NO","YES","NO","3000  QUEEN ST E","NO","UNAVAILABLE","20","DOUBLE PANE",1954,2017,4,"YES","NO",30,0,"Recycling bins","NO",0,"Post 1950"
12824,"NONE","Indoor recreation room","YES","NO","15 indoor parking spots and 0 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage","YES","GREENWIN INC.","PRIVATE",4152572,"NO","YES","NO","1150  KINGSTON RD","YES","UNAVAILABLE","20","DOUBLE PANE",1956,2017,5,"YES","NO",51,0,"Recycling bins","NO",0,"Post 1950"
12825,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg","YES","PINEDALE PROPERTIES LTD","PRIVATE",4153367,"NO","YES","NO","159  RUSSELL HILL RD","YES","UNAVAILABLE","12","DOUBLE PANE",1957,2017,4,"NO","YES",18,0,"Recycling bins","NO",0,"Post 1950"
12826,"CENTRAL AIR",NA,"YES","NO","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",1,"Underground Garage , Surface Parking","YES","PINEDALE PROPERTIES","PRIVATE",4153368,"NO","YES","NO","77  CLARENDON AVE","YES","FREE","12","DOUBLE PANE",1960,2017,6,"NO","YES",10,0,"Recycling bins","NO",0,"Post 1950"
12827,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg","YES","PINEDALE PROPERTIES LTD","PRIVATE",4153369,"NO","YES","NO","221  RUSSELL HILL RD","YES","UNAVAILABLE","12","DOUBLE PANE",1959,2017,4,"NO","YES",18,0,"Recycling bins","NO",0,"Post 1950"
12828,"INDIVIDUAL UNITS",NA,"YES","NO","7 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg","YES","AKELIUS CANADA LTD","PRIVATE",4153371,"NO","YES","NO","265  RUSSELL HILL RD","YES","UNAVAILABLE","12","DOUBLE PANE",1960,2017,8,"NO","YES",48,0,"Recycling bins","NO",0,"Post 1950"
12829,"NONE",NA,"YES","NO","15 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GLEN CORPORATION","PRIVATE",4153374,"NO","YES","NO","160  BALMORAL AVE","NO","UNAVAILABLE","12","DOUBLE PANE",1965,2017,12,"YES","NO",89,0,"Recycling bins","YES",0,"Post 1950"
12830,"NONE","Indoor recreation room , Outdoor rec facilities","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,NA,"YES",NA,"TCHC",4153386,"NO","NO","NO","171  FRONT ST E","YES","PAID","13","DOUBLE PANE",1982,2017,3,"YES","YES",61,0,"Recycling bins","NO",1,"Post 1950"
12831,"CENTRAL AIR","Indoor recreation room , Indoor exercise room","YES","YES","100 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","YES",NA,"SOCIAL HOUSING",4153389,"NO","NO","NO","110  THE ESPLANADE","YES","UNAVAILABLE","13","DOUBLE PANE",1993,2018,9,"YES","NO",205,47,"Green Bin / Organics","YES",23,"Post 1950"
